bin,p_mean,y_rate,n,abs_gap
1,0.10902022482157953,0.12359550561797752,89,0.014575280796397999
2,0.10902022482157953,0.21348314606741575,89,0.10446292124583623
3,0.10902022482157953,0.12359550561797751,89,0.014575280796397985
4,0.10902022482157953,0.1573033707865169,89,0.04828314596493738
5,0.10902022482157953,0.12359550561797747,89,0.014575280796397944
6,0.10902022482157953,0.06741573033707866,89,0.04160449448450086
7,0.10902022482157953,0.1797752808988764,89,0.07075505607729687
8,0.10902022482157953,0.09090909090909091,88,0.018111133912488614
9,0.10902022482157953,0.10227272727272727,88,0.00674749754885226
10,0.10902022482157953,0.1590909090909091,88,0.05007068426932956
