model,n,pos_rate,AUROC,AUPRC,LogLoss,Brier,ECE
Random Forest,887,0.13416009019165728,0.9871214110644253,0.888573946407286,0.09925078640904918,0.02877579521547732,0.029443696635279827
XGBoost,887,0.13416009019165728,0.9868259803921567,0.8806033130113078,0.09604392400844039,0.028978116172162005,0.019247085296072903
Logistic (glmnet),887,0.13416009019165728,0.9867384453781511,0.8821134690804199,0.09995244907595884,0.028850419720153588,0.029786596012910855
DRF,887,0.13416009019165728,0.5,0.13416009019165726,0.397275500511209,0.11679317322224933,0.025139865370077286
