train_row,weight,y_train,cum_weight
3505,4.4804706204254555e-4,0,4.4804706204254555e-4
465,4.4690699318238644e-4,0,8.949540552249319e-4
3011,4.4348678660190903e-4,0,0.001338440841826841
1068,4.400665800214316e-4,0,0.0017785074218482728
3334,4.366463734409542e-4,0,0.002215153795289227
24,4.3550630458079505e-4,0,0.002650660099870022
258,4.3208609800031764e-4,0,0.00308274619787034
1285,4.298059602799994e-4,0,0.003512552158150339
1431,4.2524568483936283e-4,0,0.003937797842989702
1668,4.2524568483936283e-4,0,0.004363043527829065
1069,4.241056159792037e-4,0,0.004787149143808268
1257,4.241056159792037e-4,0,0.005211254759787472
2136,4.241056159792037e-4,0,0.0056353603757666754
2730,4.2296554711904454e-4,0,0.00605832592288572
3167,4.2296554711904454e-4,0,0.006481291470004764
1039,4.218254782588854e-4,0,0.00690311694826365
3081,4.218254782588854e-4,0,0.007324942426522535
3010,4.206854093987263e-4,0,0.007745627835921262
3402,4.206854093987263e-4,0,0.008166313245319988
1479,4.18405271678408e-4,0,0.008584718516998395
